fp_index	fpothinp_index	ramnd0	ramnd0b	rherbtyp	rherbtypo	ramnd1	ramnd2	ramnd3	ramnd4	ramnd5	fpothinp_id	fpothinp_uuid	fpothinp_submission_time	fpothinp_parent_table_name	fpothinp_parent_index	fpothinp_tags	fpothinp_notes	fpothinp_version	fpothinp_duration	fpothinp_submitted_by
1.0	1	25				4	2	3	4.0	3				"APS_tz17_fp"	1					
1.0	2	17				4	3	3	2.0	3				"APS_tz17_fp"	1					
3.0	3	17				4	1	2	2.0	3				"APS_tz17_fp"	3					
10.0	4	25				4	2	2	50.0	8				"APS_tz17_fp"	10					
11.0	5	16				4	1	3	50.0	8				"APS_tz17_fp"	11					
12.0	6	0				1	1	1	1.0	3				"APS_tz17_fp"	12					
15.0	7	17				4	12	4	1.0	3				"APS_tz17_fp"	15					
16.0	8	25				4	1	2	1.0	3				"APS_tz17_fp"	16					
17.0	9	25				4	2	4	1.0	3				"APS_tz17_fp"	17					
18.0	10	53				4	4	2	10.0	8				"APS_tz17_fp"	18					
19.0	11	16				4	2	1	25.0	8				"APS_tz17_fp"	19					
21.0	12	25				4	1	1	1.0	3				"APS_tz17_fp"	21					
21.0	13	15				4	1	4	1.0	3				"APS_tz17_fp"	21					
22.0	14	25				4	1	4	1.0	3				"APS_tz17_fp"	22					
23.0	15	25				4	2	2	1.0	3				"APS_tz17_fp"	23					
24.0	16	25				4	2	4	1.0	3				"APS_tz17_fp"	24					
25.0	17	25				4	2	3	25.0	8				"APS_tz17_fp"	25					
26.0	18	25				4	2	3	50.0	8				"APS_tz17_fp"	26					
27.0	19	25				4	2	3	3.0	3				"APS_tz17_fp"	27					
28.0	20	17				4	2	2	2.0	3				"APS_tz17_fp"	28					
30.0	21	25				4	1	1	2.0	3				"APS_tz17_fp"	30					
31.0	22	25				4	1	2	25.0	8				"APS_tz17_fp"	31					
32.0	23	17				4	1	4	2.0	3				"APS_tz17_fp"	32					
33.0	24	17				4	1	1	2.0	3				"APS_tz17_fp"	33					
