fp_index	fpweed_index	weeding_mo	weeding_wk	weeding_typ	fpweed_id	fpweed_uuid	fpweed_submission_time	fpweed_parent_table_name	fpweed_parent_index	fpweed_tags	fpweed_notes	fpweed_version	fpweed_duration	fpweed_submitted_by
1.0	1	2	3	1				"APS_tz17_fp"	1					
1.0	2	3	4	1				"APS_tz17_fp"	1					
2.0	3	2	2	1				"APS_tz17_fp"	2					
3.0	4	2	2	1				"APS_tz17_fp"	3					
4.0	5	3	1	1				"APS_tz17_fp"	4					
5.0	6	1	2	1				"APS_tz17_fp"	5					
5.0	7	3	3	1				"APS_tz17_fp"	5					
6.0	8	1	4	1				"APS_tz17_fp"	6					
7.0	9	3	1	1				"APS_tz17_fp"	7					
8.0	10	3	2	1				"APS_tz17_fp"	8					
9.0	11	3	4	1				"APS_tz17_fp"	9					
10.0	12	2	1	1				"APS_tz17_fp"	10					
10.0	13	3	1	1				"APS_tz17_fp"	10					
11.0	14	1	4	1				"APS_tz17_fp"	11					
11.0	15	2	4	1				"APS_tz17_fp"	11					
12.0	16	1	2	1				"APS_tz17_fp"	12					
12.0	17	3	3	1				"APS_tz17_fp"	12					
13.0	18	3	3	1				"APS_tz17_fp"	13					
14.0	19	3	1	1				"APS_tz17_fp"	14					
15.0	20	12	2	1				"APS_tz17_fp"	15					
15.0	21	2	1	1				"APS_tz17_fp"	15					
16.0	22	1	2	1				"APS_tz17_fp"	16					
16.0	23	2	1	1				"APS_tz17_fp"	16					
17.0	24	2	3	1				"APS_tz17_fp"	17					
17.0	25	3	3	1				"APS_tz17_fp"	17					
18.0	26	4	2	1				"APS_tz17_fp"	18					
19.0	27	1	1	1				"APS_tz17_fp"	19					
19.0	28	3	1	1				"APS_tz17_fp"	19					
20.0	29	2	3	1				"APS_tz17_fp"	20					
21.0	30	2	2	1				"APS_tz17_fp"	21					
22.0	31	1	3	1				"APS_tz17_fp"	22					
23.0	32	3	1	1				"APS_tz17_fp"	23					
24.0	33	2	3	1				"APS_tz17_fp"	24					
25.0	34	2	2	1				"APS_tz17_fp"	25					
25.0	35	4	1	1				"APS_tz17_fp"	25					
26.0	36	2	1	1				"APS_tz17_fp"	26					
27.0	37	1	2	1				"APS_tz17_fp"	27					
27.0	38	3	3	1				"APS_tz17_fp"	27					
28.0	39	1	2	1				"APS_tz17_fp"	28					
28.0	40	3	1	1				"APS_tz17_fp"	28					
29.0	41	2	1	1				"APS_tz17_fp"	29					
29.0	42	3	4	1				"APS_tz17_fp"	29					
30.0	43	1	4	1				"APS_tz17_fp"	30					
31.0	44	1	1	1				"APS_tz17_fp"	31					
32.0	45	1	3	1				"APS_tz17_fp"	32					
33.0	46	1	1	1				"APS_tz17_fp"	33					
33.0	47	2	2	1				"APS_tz17_fp"	33					
34.0	48	1	2	1				"APS_tz17_fp"	34					
36.0	49	1	4	1				"APS_tz17_fp"	36					
37.0	50	2	2	1				"APS_tz17_fp"	37					
38.0	51	2	4	1				"APS_tz17_fp"	38					
39.0	52	2	1	1				"APS_tz17_fp"	39					
40.0	53	1	4	1				"APS_tz17_fp"	40					
41.0	54	1	2	1				"APS_tz17_fp"	41					
41.0	55	2	4	1				"APS_tz17_fp"	41					
42.0	56	2	3	1				"APS_tz17_fp"	42					
43.0	57	2	3	1				"APS_tz17_fp"	43					
44.0	58	3	1	1				"APS_tz17_fp"	44					
45.0	59	3	2	1				"APS_tz17_fp"	45					
45.0	60	4	1	1				"APS_tz17_fp"	45					
46.0	61	2	1	1				"APS_tz17_fp"	46					
46.0	62	3	1	1				"APS_tz17_fp"	46					
47.0	63	1	4	1				"APS_tz17_fp"	47					
47.0	64	3	4	1				"APS_tz17_fp"	47					
48.0	65	1	2	1				"APS_tz17_fp"	48					
48.0	66	2	1	1				"APS_tz17_fp"	48					
48.0	67	3	1	1				"APS_tz17_fp"	48					
49.0	68	2	1	1				"APS_tz17_fp"	49					
49.0	69	3	2	1				"APS_tz17_fp"	49					
50.0	70	1	4	1				"APS_tz17_fp"	50					
50.0	71	2	3	1				"APS_tz17_fp"	50					
51.0	72	1	3	1				"APS_tz17_fp"	51					
51.0	73	2	3	1				"APS_tz17_fp"	51					
55.0	74	1	2	1				"APS_tz17_fp"	55					
55.0	75	2	4	1				"APS_tz17_fp"	55					
56.0	76	4	2	1				"APS_tz17_fp"	56					
57.0	77	1	2	1				"APS_tz17_fp"	57					
57.0	78	3	1	1				"APS_tz17_fp"	57					
58.0	79	12	4	1				"APS_tz17_fp"	58					
58.0	80	1	3	1				"APS_tz17_fp"	58					
59.0	81	1	4	1				"APS_tz17_fp"	59					
59.0	82	2	4	1				"APS_tz17_fp"	59					
60.0	83	1	3	1				"APS_tz17_fp"	60					
60.0	84	2	4	1				"APS_tz17_fp"	60					
61.0	85	12	4	1				"APS_tz17_fp"	61					
61.0	86	1	4	1				"APS_tz17_fp"	61					
62.0	87	1	1	1				"APS_tz17_fp"	62					
62.0	88	2	2	1				"APS_tz17_fp"	62					
63.0	89	4	1	1				"APS_tz17_fp"	63					
64.0	90	2	1	1				"APS_tz17_fp"	64					
64.0	91	2	4	1				"APS_tz17_fp"	64					
65.0	92	1	1	1				"APS_tz17_fp"	65					
66.0	93	12	4	1				"APS_tz17_fp"	66					
66.0	94	2	4	1				"APS_tz17_fp"	66					
67.0	95	11	1	1				"APS_tz17_fp"	67					
67.0	96	1	1	1				"APS_tz17_fp"	67					
68.0	97	12	3	1				"APS_tz17_fp"	68					
68.0	98	2	2	1				"APS_tz17_fp"	68					
69.0	99	12	2	1				"APS_tz17_fp"	69					
69.0	100	1	4	1				"APS_tz17_fp"	69					
70.0	101	11	1	1				"APS_tz17_fp"	70					
70.0	102	1	1	1				"APS_tz17_fp"	70					
71.0	103	1	1	1				"APS_tz17_fp"	71					
72.0	104	12	2	1				"APS_tz17_fp"	72					
74.0	105	1	1	1				"APS_tz17_fp"	74					
75.0	106	12	4	1				"APS_tz17_fp"	75					
75.0	107	2	2	1				"APS_tz17_fp"	75					
76.0	108	1	1	1				"APS_tz17_fp"	76					
76.0	109	2	2	1				"APS_tz17_fp"	76					
77.0	110	12	2	1				"APS_tz17_fp"	77					
78.0	111	11	4	1				"APS_tz17_fp"	78					
78.0	112	1	1	1				"APS_tz17_fp"	78					
79.0	113	12	1	1				"APS_tz17_fp"	79					
79.0	114	1	4	1				"APS_tz17_fp"	79					
80.0	115	12	2	1				"APS_tz17_fp"	80					
80.0	116	3	2	1				"APS_tz17_fp"	80					
