hh_index	cropsales_index	csal2g	csal2c	csal3	csal4	csal5	csal6	csal7	cropsales_id	cropsales_uuid	cropsales_submission_time	cropsales_parent_table_name	cropsales_parent_index	cropsales_tags	cropsales_notes	cropsales_version	cropsales_duration	cropsales_submitted_by
1.0	1	"cereals"	"maize"	130.0	1	123.0	1	95000				"APS_tz17_hh"	1					
1.0	2	"legumes_oilseeds"	"sunflower"	10.0	2	10.0	2	35000				"APS_tz17_hh"	1					
3.0	3	"legumes_oilseeds"	"pigeon_pea"	80.0	8	80.0	8	700				"APS_tz17_hh"	3					
5.0	4	"legumes_oilseeds"	"pigeon_pea"	3.0	0	2.5	0	360000				"APS_tz17_hh"	5					
6.0	5	"cereals"	"maize"	12.0	0	6.0	0	360000				"APS_tz17_hh"	6					
6.0	6	"legumes_oilseeds"	"pigeon_pea"	6.0	0	5.5	0	450000				"APS_tz17_hh"	6					
7.0	7	"legumes_oilseeds"	"pigeon_pea"	5.0	1	5.0	1	80000				"APS_tz17_hh"	7					
8.0	8	"cereals"	"maize"	5.0	1	4.0	1	60000				"APS_tz17_hh"	8					
8.0	9	"legumes_oilseeds"	"pigeon_pea"	5.0	1	5.0	1	150000				"APS_tz17_hh"	8					
9.0	10	"legumes_oilseeds"	"pigeon_pea"	10.0	1	9.0	1	840000				"APS_tz17_hh"	9					
9.0	11	"legumes_oilseeds"	"sesame"	2.25	1	2.25	1	191250				"APS_tz17_hh"	9					
10.0	12	"legumes_oilseeds"	"pigeon_pea"	9.0	1	8.0	1	850000				"APS_tz17_hh"	10					
12.0	13	"cereals"	"maize"	24.0	1	18.0	1	45000				"APS_tz17_hh"	12					
12.0	14	"legumes_oilseeds"	"sesame"	1.0	1	1.0	1	190000				"APS_tz17_hh"	12					
12.0	15	"legumes_oilseeds"	"pigeon_pea"	2.0	1	2.0	1	250000				"APS_tz17_hh"	12					
13.0	16	"legumes_oilseeds"	"pigeon_pea"	4.0	0	4.0	0	140000				"APS_tz17_hh"	13					
13.0	17	"legumes_oilseeds"	"sesame"	2.0	0	2.0	0	215000				"APS_tz17_hh"	13					
14.0	18	"cereals"	"maize"	10.0	1	7.0	1	30000				"APS_tz17_hh"	14					
14.0	19	"legumes_oilseeds"	"pigeon_pea"	55.0	8	40.0	8	1500				"APS_tz17_hh"	14					
16.0	20	"legumes_oilseeds"	"pigeon_pea"	2.0	1	2.0	1	180000				"APS_tz17_hh"	16					
17.0	21	"cereals"	"maize"	6.0	0	2.0	0	45000				"APS_tz17_hh"	17					
17.0	22	"legumes_oilseeds"	"pigeon_pea"	1.0	0	1.0	0	380000				"APS_tz17_hh"	17					
24.0	23	"cereals"	"maize"	25.0	1	15.0	1	45000				"APS_tz17_hh"	24					
24.0	24	"legumes_oilseeds"	"pigeon_pea"	4.0	1	3.0	1	80000				"APS_tz17_hh"	24					
25.0	25	"cereals"	"maize"	18.0	1	12.0	1	60000				"APS_tz17_hh"	25					
28.0	26	"cereals"	"maize"	26.0	0	10.0	0	48000				"APS_tz17_hh"	28					
29.0	27	"cereals"	"maize"	80.0	0	40.0	0	48000				"APS_tz17_hh"	29					
29.0	28	"legumes_oilseeds"	"pigeon_pea"	10.0	1	9.0	1	120000				"APS_tz17_hh"	29					
31.0	29	"cereals"	"maize"	50.0	1	40.0	1	50000				"APS_tz17_hh"	31					
31.0	30	"legumes_oilseeds"	"pigeon_pea"	5.0	1	5.0	1	200000				"APS_tz17_hh"	31					
31.0	31	"cereals"	"paddy"	5.0	1	1.0	1	80000				"APS_tz17_hh"	31					
32.0	32	"legumes_oilseeds"	"pigeon_pea"	4.0	1	4.0	1	120000				"APS_tz17_hh"	32					
32.0	33	"cereals"	"maize"	45.0	0	35.0	0	48000				"APS_tz17_hh"	32					
33.0	34	"cereals"	"maize"	45.0	1	35.0	1	1050000				"APS_tz17_hh"	33					
33.0	35	"legumes_oilseeds"	"pigeon_pea"	5.0	1	5.0	1	550000				"APS_tz17_hh"	33					
34.0	36	"cereals"	"maize"	30.0	1	20.0	1	50000				"APS_tz17_hh"	34					
34.0	37	"legumes_oilseeds"	"soyabeans"	1.0	1	1.0	1	100000				"APS_tz17_hh"	34					
34.0	38	"vegetables"	"spinach"	10.0	14	10.0	14	4000				"APS_tz17_hh"	34					
34.0	39	"vegetables"	"amaranths"	5.0	14	5.0	14	4000				"APS_tz17_hh"	34					
34.0	40	"vegetables"	"pumpkins"	5.0	14	5.0	14	4000				"APS_tz17_hh"	34					
35.0	41	"cereals"	"maize"	60.0	0	40.0	0	61200				"APS_tz17_hh"	35					
36.0	42	"legumes_oilseeds"	"pigeon_pea"	2.0	0	50.0	3	600				"APS_tz17_hh"	36					
38.0	43	"legumes_oilseeds"	"cowpeas"	3.0	0	2.0	0	100000				"APS_tz17_hh"	38					
40.0	44	"cereals"	"maize"	10.0	1	3.0	1	70000				"APS_tz17_hh"	40					
40.0	45	"legumes_oilseeds"	"cowpeas"	1.0	1	80.0	8	600				"APS_tz17_hh"	40					
41.0	46	"cereals"	"maize"	38.0	0	24.0	0	35000				"APS_tz17_hh"	41					
41.0	47	"legumes_oilseeds"	"soyabeans"	3.0	0	3.0	0	55000				"APS_tz17_hh"	41					
41.0	48	"legumes_oilseeds"	"beans"	2.0	0	1.0	0	70000				"APS_tz17_hh"	41					
42.0	49	"cereals"	"maize"	50.0	0	35.0	0	40000				"APS_tz17_hh"	42					
42.0	50	"legumes_oilseeds"	"pigeon_pea"	3.0	0	3.0	0	60000				"APS_tz17_hh"	42					
