hh_index	groupmemb_index	soc2	soc3	soc3o	groupmemb_id	groupmemb_uuid	groupmemb_submission_time	groupmemb_parent_table_name	groupmemb_parent_index	groupmemb_tags	groupmemb_notes	groupmemb_version	groupmemb_duration	groupmemb_submitted_by
1.0	1	1	4					"APS_tz17_hh"	1					
1.0	2	2	4					"APS_tz17_hh"	1					
2.0	3	1	4					"APS_tz17_hh"	2					
3.0	4	1	99	"Kula na kuzikana"				"APS_tz17_hh"	3					
9.0	5	1	6					"APS_tz17_hh"	9					
10.0	6	1	6					"APS_tz17_hh"	10					
14.0	7	1	4					"APS_tz17_hh"	14					
15.0	8	1	4					"APS_tz17_hh"	15					
15.0	9	3	4					"APS_tz17_hh"	15					
20.0	10	1	4					"APS_tz17_hh"	20					
20.0	11	2	4					"APS_tz17_hh"	20					
21.0	12	1	4					"APS_tz17_hh"	21					
22.0	13	1	4					"APS_tz17_hh"	22					
22.0	14	2	4					"APS_tz17_hh"	22					
24.0	15	1	8					"APS_tz17_hh"	24					
25.0	16	1	8					"APS_tz17_hh"	25					
25.0	17	2	9					"APS_tz17_hh"	25					
30.0	18	1	4					"APS_tz17_hh"	30					
30.0	19	2	4					"APS_tz17_hh"	30					
31.0	20	2	4					"APS_tz17_hh"	31					
31.0	21	1	99	"Death and burial"				"APS_tz17_hh"	31					
32.0	22	1	4					"APS_tz17_hh"	32					
34.0	23	1	4					"APS_tz17_hh"	34					
35.0	24	2	4					"APS_tz17_hh"	35					
39.0	25	2	8					"APS_tz17_hh"	39					
40.0	26	2	4					"APS_tz17_hh"	40					
41.0	27	2	4					"APS_tz17_hh"	41					
43.0	28	1	4					"APS_tz17_hh"	43					
43.0	29	2	4					"APS_tz17_hh"	43					
44.0	30	1	4					"APS_tz17_hh"	44					
44.0	31	2	4					"APS_tz17_hh"	44					
47.0	32	1	2					"APS_tz17_hh"	47					
47.0	33	2	4					"APS_tz17_hh"	47					
48.0	34	1	6					"APS_tz17_hh"	48					
48.0	35	2	4					"APS_tz17_hh"	48					
49.0	36	1	4					"APS_tz17_hh"	49					
49.0	37	2	4					"APS_tz17_hh"	49					
50.0	38	2	4					"APS_tz17_hh"	50					
53.0	39	1	4					"APS_tz17_hh"	53					
54.0	40	1	4					"APS_tz17_hh"	54					
54.0	41	2	9					"APS_tz17_hh"	54					
56.0	42	2	4					"APS_tz17_hh"	56					
58.0	43	2	8					"APS_tz17_hh"	58					
58.0	44	2	9					"APS_tz17_hh"	58					
58.0	45	2	2					"APS_tz17_hh"	58					
64.0	46	1	4					"APS_tz17_hh"	64					
70.0	47	1	4					"APS_tz17_hh"	70					
81.0	48	1	2					"APS_tz17_hh"	81					
82.0	49	1	2					"APS_tz17_hh"	82					
83.0	50	1	2					"APS_tz17_hh"	83					
83.0	51	2	2					"APS_tz17_hh"	83					
87.0	52	2	4					"APS_tz17_hh"	87					
91.0	53	1	4					"APS_tz17_hh"	91					
93.0	54	3	4					"APS_tz17_hh"	93					
93.0	55	3	4					"APS_tz17_hh"	93					
99.0	56	1	2					"APS_tz17_hh"	99					
114.0	57	1	1					"APS_tz17_hh"	114					
114.0	58	2	1					"APS_tz17_hh"	114					
125.0	59	2	4					"APS_tz17_hh"	125					
125.0	60	2	4					"APS_tz17_hh"	125					
125.0	61	2	4					"APS_tz17_hh"	125					
125.0	62	2	4					"APS_tz17_hh"	125					
129.0	63	2	4					"APS_tz17_hh"	129					
137.0	64	2	8					"APS_tz17_hh"	137					
138.0	65	1	4					"APS_tz17_hh"	138					
139.0	66	1	4					"APS_tz17_hh"	139					
139.0	67	2	4					"APS_tz17_hh"	139					
142.0	68	1	3					"APS_tz17_hh"	142					
143.0	69	1	3					"APS_tz17_hh"	143					
144.0	70	1	8					"APS_tz17_hh"	144					
144.0	71	2	9					"APS_tz17_hh"	144					
149.0	72	2	6					"APS_tz17_hh"	149					
151.0	73	1	6					"APS_tz17_hh"	151					
155.0	74	2	4					"APS_tz17_hh"	155					
159.0	75	1	4					"APS_tz17_hh"	159					
160.0	76	2	4					"APS_tz17_hh"	160					
160.0	77	1	4					"APS_tz17_hh"	160					
161.0	78	1	4					"APS_tz17_hh"	161					
163.0	79	1	99	"Livestock group"				"APS_tz17_hh"	163					
164.0	80	2	9					"APS_tz17_hh"	164					
165.0	81	1	4					"APS_tz17_hh"	165					
166.0	82	2	9					"APS_tz17_hh"	166					
171.0	83	1	4					"APS_tz17_hh"	171					
173.0	84	2	4					"APS_tz17_hh"	173					
180.0	85	2	4					"APS_tz17_hh"	180					
181.0	86	1	8					"APS_tz17_hh"	181					
181.0	87	2	9					"APS_tz17_hh"	181					
185.0	88	2	2					"APS_tz17_hh"	185					
185.0	89	1	2					"APS_tz17_hh"	185					
186.0	90	2	4					"APS_tz17_hh"	186					
186.0	91	2	4					"APS_tz17_hh"	186					
187.0	92	2	2					"APS_tz17_hh"	187					
189.0	93	2	9					"APS_tz17_hh"	189					
192.0	94	1	4					"APS_tz17_hh"	192					
202.0	95	1	6					"APS_tz17_hh"	202					
202.0	96	2	9					"APS_tz17_hh"	202					
209.0	97	1	4					"APS_tz17_hh"	209					
219.0	98	1	4					"APS_tz17_hh"	219					
220.0	99	1	4					"APS_tz17_hh"	220					
220.0	100	2	4					"APS_tz17_hh"	220					
227.0	101	2	9					"APS_tz17_hh"	227					
242.0	102	1	6					"APS_tz17_hh"	242					
253.0	103	2	4					"APS_tz17_hh"	253					
262.0	104	1	4					"APS_tz17_hh"	262					
262.0	105	2	9					"APS_tz17_hh"	262					
263.0	106	2	9					"APS_tz17_hh"	263					
268.0	107	1	4					"APS_tz17_hh"	268					
272.0	108	1	4					"APS_tz17_hh"	272					
272.0	109	2	4					"APS_tz17_hh"	272					
277.0	110	1	4					"APS_tz17_hh"	277					
277.0	111	2	4					"APS_tz17_hh"	277					
287.0	112	1	4					"APS_tz17_hh"	287					
293.0	113	2	4					"APS_tz17_hh"	293					
304.0	114	2	9					"APS_tz17_hh"	304					
305.0	115	2	9					"APS_tz17_hh"	305					
306.0	116	1	6					"APS_tz17_hh"	306					
306.0	117	2	9					"APS_tz17_hh"	306					
308.0	118	1	99	"Poultry keeping"				"APS_tz17_hh"	308					
309.0	119	1	2					"APS_tz17_hh"	309					
310.0	120	2	4					"APS_tz17_hh"	310					
319.0	121	1	4					"APS_tz17_hh"	319					
324.0	122	2	9					"APS_tz17_hh"	324					
325.0	123	1	4					"APS_tz17_hh"	325					
325.0	124	2	4					"APS_tz17_hh"	325					
326.0	125	1	4					"APS_tz17_hh"	326					
326.0	126	2	4					"APS_tz17_hh"	326					
327.0	127	2	4					"APS_tz17_hh"	327					
327.0	128	2	99	"For death and burial"				"APS_tz17_hh"	327					
329.0	129	3	4					"APS_tz17_hh"	329					
331.0	130	1	4					"APS_tz17_hh"	331					
332.0	131	1	6					"APS_tz17_hh"	332					
334.0	132	1	4					"APS_tz17_hh"	334					
334.0	133	2	4					"APS_tz17_hh"	334					
335.0	134	1	8					"APS_tz17_hh"	335					
335.0	135	2	9					"APS_tz17_hh"	335					
341.0	136	2	8					"APS_tz17_hh"	341					
344.0	137	2	4					"APS_tz17_hh"	344					
346.0	138	2	4					"APS_tz17_hh"	346					
348.0	139	1	4					"APS_tz17_hh"	348					
349.0	140	1	8					"APS_tz17_hh"	349					
349.0	141	2	9					"APS_tz17_hh"	349					
350.0	142	2	9					"APS_tz17_hh"	350					
356.0	143	2	4					"APS_tz17_hh"	356					
361.0	144	2	4					"APS_tz17_hh"	361					
362.0	145	1	99	"\"Funeral, Feast, Treatment support\""				"APS_tz17_hh"	362					
362.0	146	2	4					"APS_tz17_hh"	362					
363.0	147	2	4					"APS_tz17_hh"	363					
364.0	148	2	99	"Church leader"				"APS_tz17_hh"	364					
365.0	149	1	99	"Conservation Agriculture"				"APS_tz17_hh"	365					
365.0	150	2	99	"Conservation Agriculture"				"APS_tz17_hh"	365					
367.0	151	2	6					"APS_tz17_hh"	367					
368.0	152	3	6					"APS_tz17_hh"	368					
369.0	153	2	9					"APS_tz17_hh"	369					
369.0	154	2	4					"APS_tz17_hh"	369					
371.0	155	1	4					"APS_tz17_hh"	371					
381.0	156	1	5					"APS_tz17_hh"	381					
387.0	157	1	8					"APS_tz17_hh"	387					
387.0	158	2	8					"APS_tz17_hh"	387					
388.0	159	2	4					"APS_tz17_hh"	388					
389.0	160	2	9					"APS_tz17_hh"	389					
391.0	161	2	4					"APS_tz17_hh"	391					
392.0	162	2	4					"APS_tz17_hh"	392					
394.0	163	1	4					"APS_tz17_hh"	394					
394.0	164	2	4					"APS_tz17_hh"	394					
399.0	165	2	4					"APS_tz17_hh"	399					
401.0	166	2	4					"APS_tz17_hh"	401					
404.0	167	1	4					"APS_tz17_hh"	404					
404.0	168	3	8					"APS_tz17_hh"	404					
410.0	169	2	4					"APS_tz17_hh"	410					
411.0	170	2	4					"APS_tz17_hh"	411					
419.0	171	1	4					"APS_tz17_hh"	419					
423.0	172	2	9					"APS_tz17_hh"	423					
430.0	173	2	4					"APS_tz17_hh"	430					
434.0	174	2	9					"APS_tz17_hh"	434					
436.0	175	2	4					"APS_tz17_hh"	436					
438.0	176	2	4					"APS_tz17_hh"	438					
439.0	177	2	9					"APS_tz17_hh"	439					
441.0	178	1	4					"APS_tz17_hh"	441					
441.0	179	2	4					"APS_tz17_hh"	441					
445.0	180	1	8					"APS_tz17_hh"	445					
445.0	181	2	8					"APS_tz17_hh"	445					
447.0	182	2	8					"APS_tz17_hh"	447					
449.0	183	2	4					"APS_tz17_hh"	449					
449.0	184	1	4					"APS_tz17_hh"	449					
451.0	185	1	4					"APS_tz17_hh"	451					
451.0	186	2	4					"APS_tz17_hh"	451					
457.0	187	1	9					"APS_tz17_hh"	457					
457.0	188	3	4					"APS_tz17_hh"	457					
460.0	189	2	4					"APS_tz17_hh"	460					
462.0	190	1	8					"APS_tz17_hh"	462					
462.0	191	2	9					"APS_tz17_hh"	462					
463.0	192	1	99	"Elders group"				"APS_tz17_hh"	463					
464.0	193	1	10					"APS_tz17_hh"	464					
465.0	194	2	9					"APS_tz17_hh"	465					
468.0	195	2	9					"APS_tz17_hh"	468					
469.0	196	1	4					"APS_tz17_hh"	469					
471.0	197	1	6					"APS_tz17_hh"	471					
479.0	198	1	4					"APS_tz17_hh"	479					
481.0	199	2	8					"APS_tz17_hh"	481					
483.0	200	1	4					"APS_tz17_hh"	483					
485.0	201	1	8					"APS_tz17_hh"	485					
485.0	202	2	8					"APS_tz17_hh"	485					
486.0	203	1	4					"APS_tz17_hh"	486					
486.0	204	2	9					"APS_tz17_hh"	486					
487.0	205	2	9					"APS_tz17_hh"	487					
488.0	206	2	9					"APS_tz17_hh"	488					
492.0	207	2	6					"APS_tz17_hh"	492					
500.0	208	1	4					"APS_tz17_hh"	500					
500.0	209	2	4					"APS_tz17_hh"	500					
501.0	210	1	4					"APS_tz17_hh"	501					
502.0	211	1	4					"APS_tz17_hh"	502					
504.0	212	2	8					"APS_tz17_hh"	504					
505.0	213	1	4					"APS_tz17_hh"	505					
505.0	214	2	4					"APS_tz17_hh"	505					
506.0	215	1	4					"APS_tz17_hh"	506					
506.0	216	2	4					"APS_tz17_hh"	506					
507.0	217	1	4					"APS_tz17_hh"	507					
507.0	218	1	5					"APS_tz17_hh"	507					
510.0	219	2	4					"APS_tz17_hh"	510					
511.0	220	1	8					"APS_tz17_hh"	511					
513.0	221	1	4					"APS_tz17_hh"	513					
516.0	222	1	9					"APS_tz17_hh"	516					
517.0	223	2	9					"APS_tz17_hh"	517					
521.0	224	1	4					"APS_tz17_hh"	521					
523.0	225	2	4					"APS_tz17_hh"	523					
524.0	226	1	4					"APS_tz17_hh"	524					
527.0	227	1	4					"APS_tz17_hh"	527					
527.0	228	2	4					"APS_tz17_hh"	527					
530.0	229	2	4					"APS_tz17_hh"	530					
531.0	230	2	4					"APS_tz17_hh"	531					
532.0	231	1	4					"APS_tz17_hh"	532					
533.0	232	2	9					"APS_tz17_hh"	533					
535.0	233	1	4					"APS_tz17_hh"	535					
536.0	234	2	4					"APS_tz17_hh"	536					
537.0	235	2	4					"APS_tz17_hh"	537					
539.0	236	2	4					"APS_tz17_hh"	539					
540.0	237	2	4					"APS_tz17_hh"	540					
542.0	238	1	4					"APS_tz17_hh"	542					
542.0	239	2	6					"APS_tz17_hh"	542					
543.0	240	1	4					"APS_tz17_hh"	543					
544.0	241	1	6					"APS_tz17_hh"	544					
545.0	242	1	6					"APS_tz17_hh"	545					
547.0	243	2	4					"APS_tz17_hh"	547					
550.0	244	9	4					"APS_tz17_hh"	550					
553.0	245	2	4					"APS_tz17_hh"	553					
554.0	246	1	6					"APS_tz17_hh"	554					
555.0	247	1	6					"APS_tz17_hh"	555					
555.0	248	2	4					"APS_tz17_hh"	555					
556.0	249	1	4					"APS_tz17_hh"	556					
556.0	250	2	9					"APS_tz17_hh"	556					
557.0	251	1	4					"APS_tz17_hh"	557					
558.0	252	1	4					"APS_tz17_hh"	558					
566.0	253	1	4					"APS_tz17_hh"	566					
573.0	254	1	4					"APS_tz17_hh"	573					
573.0	255	2	9					"APS_tz17_hh"	573					
574.0	256	2	4					"APS_tz17_hh"	574					
575.0	257	1	4					"APS_tz17_hh"	575					
575.0	258	2	4					"APS_tz17_hh"	575					
580.0	259	1	4					"APS_tz17_hh"	580					
580.0	260	2	9					"APS_tz17_hh"	580					
581.0	261	2	9					"APS_tz17_hh"	581					
582.0	262	2	4					"APS_tz17_hh"	582					
