hh_index	plot_index	pinst	plot_id	plot_name	plot_area_a	plot_area_u	p1	p2	p3	p4	p5	p6	p7	p8	p9	p10	p11	p12	p13	p14	p15	p16	p_id	p_uuid	p_submission_time	p_index	p_parent_table_name	p_parent_index	p_tags	p_notes	p_version	p_duration	p_submitted_by
1.0	1.0	1	1	"Kwa Matomola "	2.0	1	1.3	1		2		1		"2013-01-01"	0				0		0					1	"APS_tz17_hh"	1					
1.0	2.0	2	2	"Ngwinjima"	2.0	1	1.3	1		2		1		"2013-01-01"	0				0		0					2	"APS_tz17_hh"	1					
1.0	3.0	3	3	"Kwa Kamuzu "	6.0	1	2.0	1		2		1		"2013-01-01"	0				0		0					3	"APS_tz17_hh"	1					
1.0	4.0	4	4	"Miyimo"	3.0	1	2.0	1		2		1		"2013-01-01"	0				0		0					4	"APS_tz17_hh"	1					
1.0	5.0	5	5	"Ngwasai"	1.0	1	2.0	1		2		1		"2013-01-01"	0				0		0					5	"APS_tz17_hh"	1					
1.0	6.0	6	6	"Ngwasai"	1.0	1	2.0	1		2		1		"2013-01-01"	0				0		0					6	"APS_tz17_hh"	1					
1.0	7.0	7	7	"Lwego"	26.0	1	2.0	2		2		1		"2015-01-01"	0				0		0					7	"APS_tz17_hh"	1					
1.0	8.0	8	8	"Kamuzu 2"	1.5	1	2.0	2		2		1		"2013-01-01"	0				0		0					8	"APS_tz17_hh"	1					
1.0	9.0	9	9	"Lwego"	0.5	1	2.0	1		1		1		"2013-01-01"	0				1	"2013-01-01"	0					9	"APS_tz17_hh"	1					
2.0	10.0	1	1	"Mahindi"	2.0	1	0.3	1		2		1		"2016-01-01"	0				0		0					10	"APS_tz17_hh"	2					
2.0	11.0	2	2	"Mbaazi"	1.0	1	0.3	1		2		1		"2016-01-01"	0				0		0					11	"APS_tz17_hh"	2					
2.0	12.0	3	3	"Mahindi na alizeti"	0.75	1	0.2	1		2		1		"2016-01-01"	0				0		0					12	"APS_tz17_hh"	2					
2.0	13.0	4	4	"Garden"	0.25	1	5.0	1		2		1		"2016-01-01"	0				1	"2016-01-01"	0					13	"APS_tz17_hh"	2					
2.0	14.0	5	5	"Mahindi na mbaazi"	3.0	1	0.3	1		2		1		"2016-01-01"	0				0		0					14	"APS_tz17_hh"	2					
3.0	15.0	1	1	"Mlimani 2"	1.5	1	4.0	2		2		1		"1978-01-01"	0				0		0					15	"APS_tz17_hh"	3					
3.0	16.0	2	2	"Mililani 4"	2.5	1	4.0	1		2		1		"1978-01-01"	0				0		0					16	"APS_tz17_hh"	3					
3.0	17.0	3	3	"Mililani 3"	1.0	1	4.0	1		2		1		"1978-01-01"	0				0		0					17	"APS_tz17_hh"	3					
3.0	18.0	4	4	"Mililani 1"	0.5	1	4.0	1		2		1		"1978-01-01"	0				0		0					18	"APS_tz17_hh"	3					
3.0	19.0	5	5	"Bondeni"	2.0	1	4.0	1		1		1		"1978-01-01"	0				0		0					19	"APS_tz17_hh"	3					
3.0	20.0	6	6	"Ng'ambo"	0.5	1	4.2	1		2		1		"1978-01-01"	0				0		0					20	"APS_tz17_hh"	3					
3.0	21.0	7	7	"Ng'ambo"	2.0	1	4.2	2		2		1		"1978-01-01"	0				0		0					21	"APS_tz17_hh"	3					
3.0	22.0	8	8	"Dimbeni"	1.0	1	4.0	1		2		1		"1978-01-01"	0				0		0					22	"APS_tz17_hh"	3					
3.0	23.0	9	9	"Dimbeni"	2.0	1	4.0	2		2		1		"1978-01-01"	0				0		0					23	"APS_tz17_hh"	3					
4.0	24.0	1	1	"Mgunjima 1"	4.0	1	6.0	1		2		1		"1972-01-01"	0				0		0					24	"APS_tz17_hh"	4					
4.0	25.0	2	2	"Shuleni"	1.0	1	2.0	1		2		1		"1995-01-01"	0				0		0					25	"APS_tz17_hh"	4					
4.0	26.0	3	3	"Mgunjima 2"	52.0	1	7.0	2		2		1		"1970-01-01"	0				0		0					26	"APS_tz17_hh"	4					
5.0	27.0	1	1	"Home"	1.0	1	0.0	1		2		1		"1983-01-01"	0				0		0					27	"APS_tz17_hh"	5					
5.0	28.0	2	2	"Kitoji"	1.0	1	1.5	1		2		1		"1983-01-01"	0				0		0					28	"APS_tz17_hh"	5					
5.0	29.0	3	3	"Bondeni"	2.0	1	1.0	1		2		1		"1983-01-01"	0				0		0					29	"APS_tz17_hh"	5					
5.0	30.0	4	4	"Mbenue"	2.0	1	0.0	1		2		1		"1983-01-01"	0				0		0					30	"APS_tz17_hh"	5					
6.0	31.0	1	1	"Nandungutu"	3.0	1	4.0	1		2		1		"1985-01-01"	0				0		0					31	"APS_tz17_hh"	6					
7.0	32.0	1	1	"Mahindi"	2.0	1	2.0	1		2		1		"1984-01-01"	0				0		0					32	"APS_tz17_hh"	7					
7.0	33.0	2	2	"Mahindi na mbaazi"	2.0	1	4.0	1		2		1		"1984-01-01"	0				0		0					33	"APS_tz17_hh"	7					
7.0	34.0	3	3	"Bondeni"	1.5	1	1.0	1		2		1		"1984-01-01"	0				0		0					34	"APS_tz17_hh"	7					
8.0	35.0	1	1	"Mahindi mbaazi"	1.0	1	2.0	1		2		6		"2012-01-01"	0				0		0					35	"APS_tz17_hh"	8					
8.0	36.0	2	2	"Mbaazi mahindi"	1.0	1	2.0	1		2		6		"2012-01-01"	0				0		0					36	"APS_tz17_hh"	8					
8.0	37.0	3	3	"Bondeni"	1.0	1	3.0	1		2		7		"2012-01-01"	0				0		0					37	"APS_tz17_hh"	8					
8.0	38.0	4	4	"Mahindi mbaazi"	2.0	1	2.5	1		2		6		"2012-01-01"	0				0		0					38	"APS_tz17_hh"	8					
9.0	39.0	1	1	"Uwanjani"	1.0	1	0.0	1		2		1		"2000-01-01"	0				0		1	"2017-01-01"				39	"APS_tz17_hh"	9					
9.0	40.0	2	2	"Miembeni A"	1.5	1	0.0	1		2		1		"2000-01-01"	0				0		1	"2017-01-01"				40	"APS_tz17_hh"	9					
9.0	41.0	3	3	"Miembeni B"	0.5	1	0.0	1		2		1		"2000-01-01"	0				0		1	"2017-01-01"				41	"APS_tz17_hh"	9					
9.0	42.0	4	4	"Makaburini A"	1.0	1	0.5	1		2		1		"2000-01-01"	0				0		1	"2017-01-01"				42	"APS_tz17_hh"	9					
9.0	43.0	5	5	"Makaburini B"	1.0	1	0.5	1		2		1		"2000-01-01"	0				0		1	"2017-01-01"				43	"APS_tz17_hh"	9					
9.0	44.0	6	6	"Nyumbani A"	0.25	1	0.0	1		2		1		"2000-01-01"	0				0		1	"2000-01-01"				44	"APS_tz17_hh"	9					
9.0	45.0	7	7	"Nyumbani B"	1.0	1	0.0	1		2		1		"2000-01-01"	0				0		1	"2017-01-01"				45	"APS_tz17_hh"	9					
9.0	46.0	8	8	"Nyumbani C"	1.0	1	0.0	1		2		1		"2000-01-01"	0				0		1	"2000-01-01"				46	"APS_tz17_hh"	9					
9.0	47.0	9	9	"Barabarani A"	1.5	1	0.5	1		2		1		"2000-01-01"	0				0		1	"2017-01-01"				47	"APS_tz17_hh"	9					
9.0	48.0	10	10	"Bareabarani B"	1.5	1	0.5	1		2		1		"2000-01-01"	0				0		1	"2017-01-01"				48	"APS_tz17_hh"	9					
9.0	49.0	11	11	"Mpakani"	0.25	1	0.0	6		6		1		"2000-01-01"	0				0		1	"2017-01-01"				49	"APS_tz17_hh"	9					
10.0	50.0	1	1	"Shambani"	4.0	1	6.5	1		2		1		"1997-01-01"	0				0		1	"2017-01-01"				50	"APS_tz17_hh"	10					
11.0	51.0	1	1	"Shamba dogo"	3.0	1	2.5	1		2		2		"1985-01-01"	1	6		"1985-01-01"	0		0					51	"APS_tz17_hh"	11					
11.0	52.0	2	2	"Bondeni"	2.0	1	1.5	1		2		2		"1998-01-01"	1	6		"1985-01-01"	0		0					52	"APS_tz17_hh"	11					
11.0	53.0	3	3	"Mpunga"	1.5	1	2.0	1		2		2		"1985-01-01"	1	6		"1985-01-01"	0		0					53	"APS_tz17_hh"	11					
11.0	54.0	4	4	"Shamba kubwa"	6.0	1	1.5	1		2		2		"1985-01-01"	1	6		"1985-01-01"	0		0					54	"APS_tz17_hh"	11					
11.0	55.0	5	5	"Nyumbani"	1.5	1	0.0	1		2		2		"1986-01-01"	1	6		"1986-01-01"	0		0					55	"APS_tz17_hh"	11					
11.0	56.0	6	6	"Bustani"	0.25	1	0.0	1		2		2		"1986-01-01"	1	6		"1986-01-01"	0		0					56	"APS_tz17_hh"	11					
11.0	57.0	7	7	"Juu"	1.0	1	3.0	2		2		2		"1985-01-01"	1	6		"1985-01-01"	0		0					57	"APS_tz17_hh"	11					
11.0	58.0	8	8	"Fallow"	5.0	1	7.0	2		2		2		"1985-01-01"	1	6		"1985-01-01"	0		0					58	"APS_tz17_hh"	11					
12.0	59.0	1	1	"Mahindi"	4.0	1	0.0	1		2		2		"1989-01-01"	1	6		"1990-01-01"	0		0					59	"APS_tz17_hh"	12					
12.0	60.0	2	2	"Mbaazi"	4.0	1	0.0	1		2		2		"1989-01-01"	1	6		"1990-01-01"	0		0					60	"APS_tz17_hh"	12					
12.0	61.0	3	3	"Mtama"	0.5	1	0.0	1		2		2		"1989-01-01"	1	6		"1990-01-01"	0		0					61	"APS_tz17_hh"	12					
12.0	62.0	4	4	"Bondeni"	4.0	1	0.0	1		2		2		"1989-01-01"	1	6		"1990-01-01"	0		0					62	"APS_tz17_hh"	12					
12.0	63.0	5	5	"Mpunga"	0.5	1	0.0	1		2		2		"1989-01-01"	1	6		"1990-01-01"	0		0					63	"APS_tz17_hh"	12					
12.0	64.0	6	6	"Ufuta"	0.5	1	0.0	1		2		2		"1989-01-01"	1	6		"1990-01-01"	0		0					64	"APS_tz17_hh"	12					
12.0	65.0	7	7	"Viazi"	0.5	1	0.0	1		2		2		"1989-01-01"	1	6		"1990-01-01"	0		0					65	"APS_tz17_hh"	12					
12.0	66.0	8	8	"Muhogo"	1.0	1	0.0	1		2		2		"1989-01-01"	1	6		"1990-01-01"	0		0					66	"APS_tz17_hh"	12					
12.0	67.0	9	9	"Alizeti"	1.0	1	0.0	1		2		2		"1989-01-01"	1	6		"1990-01-01"	0		0					67	"APS_tz17_hh"	12					
13.0	68.0	1	1	"Darajani"	1.5	1	0.5	1		2		1		"2010-01-01"	0				0		0					68	"APS_tz17_hh"	13					
13.0	69.0	2	2	"Chereweni"	2.0	1	5.0	1		2		1		"2011-01-01"	0				0		0					69	"APS_tz17_hh"	13					
13.0	70.0	3	3	"Mkungu"	3.0	1	10.0	1		2		1		"2015-01-01"	0				0		0					70	"APS_tz17_hh"	13					
13.0	71.0	4	4	"Virgin"	4.0	1	10.0	8		8		1		"2015-01-01"	0				0		0					71	"APS_tz17_hh"	13					
14.0	72.0	1	1	"Mtonya"	0.5	1	1.5	1		2		1		"2012-01-01"	0				0		0					72	"APS_tz17_hh"	14					
14.0	73.0	2	2	"Mtonya"	0.25	1	1.5	1		2		1		"2012-01-01"	0				0		0					73	"APS_tz17_hh"	14					
14.0	74.0	3	3	"Njengani"	1.25	1	3.0	1		2		4		"2017-01-01"	0				0		0					74	"APS_tz17_hh"	14					
14.0	75.0	4	4	"Mkungu"	0.5	1	8.0	1		99	"Borrowed in"	6		"2017-01-01"	0				0		0					75	"APS_tz17_hh"	14					
15.0	76.0	1	1	"Nchikavu1"	2.0	1	2.0	1		2		5		"2014-01-01"	0				0		0					76	"APS_tz17_hh"	15					
15.0	77.0	2	2	"Nchikavu2"	1.0	1	4.0	1		2		1		"2002-01-01"	0				0		0					77	"APS_tz17_hh"	15					
15.0	78.0	3	3	"Nchikavu3"	1.0	1	6.0	1		2		1		"1981-01-01"	0				0		0					78	"APS_tz17_hh"	15					
15.0	79.0	4	4	"Mtoni1"	1.0	1	4.0	1		2		3		"2007-01-01"	0	6			0		0					79	"APS_tz17_hh"	15					
15.0	80.0	5	5	"Mtoni2"	1.0	1	4.0	1		2		3		"2007-01-01"	0	6			0		0					80	"APS_tz17_hh"	15					
