pmc_index	pmcc_index	mc7	mc8	mc8o	mc9	mc10	mc11	mc12	pmcc_id	pmcc_uuid	pmcc_submission_time	pmcc_parent_table_name	pmcc_parent_index	pmcc_tags	pmcc_notes	pmcc_version	pmcc_duration	pmcc_submitted_by
1.0	1	"cereals"	"maize"		3	0	30.0	1				"rgrp2"	1					
1.0	2	"legumes_oilseeds"	"sunflower"		3	0	32.0	2				"rgrp2"	1					
2.0	3	"cereals"	"maize"		3	0	40.0	1				"rgrp2"	2					
2.0	4	"legumes_oilseeds"	"sunflower"		3	0	24.0	2				"rgrp2"	2					
3.0	5	"cereals"	"maize"		1	0	100.0	1				"rgrp2"	3					
4.0	6	"cereals"	"maize"		1	0	48.0	1				"rgrp2"	4					
5.0	7	"cereals"	"maize"		3	0	5.0	1				"rgrp2"	5					
5.0	8	"cereals"	"maize"		3	0	6.0	2				"rgrp2"	5					
6.0	9	"legumes_oilseeds"	"pigeon_pea"		1	0	3.0	1				"rgrp2"	6					
9.0	10	"vegetables"	"spinach"		4	0	3.0	14				"rgrp2"	9					
9.0	11	"vegetables"	"pumpkins"		4	0	2.0	14				"rgrp2"	9					
9.0	12	"vegetables"	"okra"		4	0	1.0	14				"rgrp2"	9					
9.0	13	"vegetables"	"veg_other"		4	0	4.0	10				"rgrp2"	9					
10.0	14	"cereals"	"maize"		1	1	7.0	1				"rgrp2"	10					
11.0	15	"legumes_oilseeds"	"pigeon_pea"		1	0	8.0	2				"rgrp2"	11					
12.0	16	"cereals"	"maize"		4	0	1.0	10				"rgrp2"	12					
12.0	17	"legumes_oilseeds"	"sunflower"		2	0	4.0	2				"rgrp2"	12					
13.0	18	"vegetables"	"cabbage"		4	0	2.0	9				"rgrp2"	13					
13.0	19	"vegetables"	"spinach"		4	0	4.0	14				"rgrp2"	13					
13.0	20	"vegetables"	"tomatoes"		3	0	4.0	10				"rgrp2"	13					
14.0	21	"cereals"	"maize"		3	0	13.0	1				"rgrp2"	14					
14.0	22	"legumes_oilseeds"	"pigeon_pea"		3	0	1.0	0				"rgrp2"	14					
