hh_index	psc_index	sc1	sc2	sc3	scropped_flag	sc5	s_maxcrops	s_mincrops	sc6	rgrp5_count	psc_id	psc_uuid	psc_submission_time	psc_parent_table_name	psc_parent_index	psc_tags	psc_notes	psc_version	psc_duration	psc_submitted_by
1.0	1	1	"Kwa Matomola "	1	2									"APS_tz17_hh"	1					
1.0	2	2	"Ngwinjima"	2	2									"APS_tz17_hh"	1					
1.0	3	3	"Kwa Kamuzu "	3	2									"APS_tz17_hh"	1					
1.0	4	4	"Miyimo"	4	2									"APS_tz17_hh"	1					
1.0	5	5	"Ngwasai"	5	2									"APS_tz17_hh"	1					
1.0	6	6	"Ngwasai"	6	2									"APS_tz17_hh"	1					
1.0	7	7	"Lwego"	7	2									"APS_tz17_hh"	1					
1.0	8	8	"Kamuzu 2"	8	2									"APS_tz17_hh"	1					
1.0	9	9	"Lwego"	9	1	1	11	2	4	4				"APS_tz17_hh"	1					
2.0	10	1	"Mahindi"	1	2									"APS_tz17_hh"	2					
2.0	11	2	"Mbaazi"	2	2									"APS_tz17_hh"	2					
2.0	12	3	"Mahindi na alizeti"	3	2									"APS_tz17_hh"	2					
2.0	13	4	"Garden"	4	2									"APS_tz17_hh"	2					
2.0	14	5	"Mahindi na mbaazi"	5	2									"APS_tz17_hh"	2					
3.0	15	1	"Mlimani 2"	1	2									"APS_tz17_hh"	3					
3.0	16	2	"Mililani 4"	2	2									"APS_tz17_hh"	3					
3.0	17	3	"Mililani 3"	3	2									"APS_tz17_hh"	3					
3.0	18	4	"Mililani 1"	4	2									"APS_tz17_hh"	3					
3.0	19	5	"Bondeni"	5	1	0	2	1	1	1				"APS_tz17_hh"	3					
3.0	20	6	"Ng'ambo"	6	2									"APS_tz17_hh"	3					
3.0	21	7	"Ng'ambo"	7	2									"APS_tz17_hh"	3					
3.0	22	8	"Dimbeni"	8	2									"APS_tz17_hh"	3					
3.0	23	9	"Dimbeni"	9	2									"APS_tz17_hh"	3					
4.0	24	1	"Mgunjima 1"	1	2									"APS_tz17_hh"	4					
4.0	25	2	"Shuleni"	2	2									"APS_tz17_hh"	4					
