psc_index	pscc_index	sc7	sc8	sc8o	sc9	sc10	sc11	sc12	pscc_id	pscc_uuid	pscc_submission_time	pscc_parent_table_name	pscc_parent_index	pscc_tags	pscc_notes	pscc_version	pscc_duration	pscc_submitted_by
9.0	1	"vegetables"	"spinach"		4	1	2.0	14				"rgrp4"	9					
9.0	2	"vegetables"	"pumpkins"		4	1	20.0	23				"rgrp4"	9					
9.0	3	"vegetables"	"okra"		4	1	1.0	14				"rgrp4"	9					
9.0	4	"vegetables"	"veg_other"		4	1	3.0	14				"rgrp4"	9					
19.0	5	"cash_other"	"sugar_cane"		1	0	500.0	8				"rgrp4"	19					
177.0	6	"roots_tubers"	"sweet_potatoes"		5	1	1.0	14				"rgrp4"	177					
177.0	7	"vegetables"	"spinach"		5	1	15.0	14				"rgrp4"	177					
177.0	8	"vegetables"	"amaranths"		5	1	4.0	14				"rgrp4"	177					
177.0	9	"roots_tubers"	"yams"		5	1	2.0	10				"rgrp4"	177					
215.0	10	"legumes_oilseeds"	"beans"		1	1	11.0	10				"rgrp4"	215					
257.0	11	"legumes_oilseeds"	"beans"		1	0	4.0	1				"rgrp4"	257					
276.0	12	"fruits"	"mango"		2	1	6000.0	8				"rgrp4"	276					
276.0	13	"fruits"	"banana"		3	1	50.0	17				"rgrp4"	276					
276.0	14	"fruits"	"orange"		3	1	30.0	10				"rgrp4"	276					
276.0	15	"cash_other"	"sugar_cane"		1	1	1.0	9				"rgrp4"	276					
306.0	16	"vegetables"	"veg_other"		1	0	0.99	16				"rgrp4"	306					
306.0	17	"vegetables"	"veg_other"		1	0	0.99	16				"rgrp4"	306					
323.0	18	"cash_other"	"sugar_cane"		1	0	0.0	8				"rgrp4"	323					
325.0	19	"legumes_oilseeds"	"beans"		1	0	3.0	1				"rgrp4"	325					
333.0	20	"legumes_oilseeds"	"beans"		1	0	1.0	1				"rgrp4"	333					
352.0	21	"cereals"	"maize"		1	0	75.0	1				"rgrp4"	352					
368.0	22	"cash_other"	"sugar_cane"		1	0	0.0	23				"rgrp4"	368					
369.0	23	"cereals"	"maize"		1	1	300.0	23				"rgrp4"	369					
371.0	24	"cash_other"	"sugar_cane"		1	0	0.0	23				"rgrp4"	371					
507.0	25	"cash_other"	"coffee"		1	0	0.0	8				"rgrp4"	507					
511.0	26	"cash_other"	"coffee"		1	0	20.0	0				"rgrp4"	511					
514.0	27	"cash_other"	"coffee"		1	0	3.0	1				"rgrp4"	514					
526.0	28	"cash_other"	"coffee"		1	1	100.0	8				"rgrp4"	526					
530.0	29	"cash_other"	"coffee"		1	0	22.0	0				"rgrp4"	530					
537.0	30	"cash_other"	"coffee"		1	0	1.5	0				"rgrp4"	537					
538.0	31	"cash_other"	"coffee"		1	0	1.0	0				"rgrp4"	538					
