cmty_index,enum_date,zone,region,district,site,ward,village,hamlet,comm_gps,vil_nhh,vil_npersons,vil_acres,acc_inp_km,acc_inp_tsh,maiprc_depot_q1,maiprc_depot_q2,maiprc_depot_q3,maiprc_depot_q4,maiprc_town_q1,maiprc_town_q2,maiprc_town_q3,maiprc_town_q4,price_basfert,price_topfert,transp_price,price_pesticide,price_herbicide,price_fungicide,price_SA,price_DAP,price_CAN,price_Urea,price_TSP,price_MinjinguMazao,price_YaraMilaCereal,price_YaraAmidas,price_YaraMilaWinner,price_other,clearing_price,hoeing_price,planting_price,tillplnt_price,fertapp_price,weeding_price,pestapp_price,harvesting_price,shelling_price
1,5/8/2017,S,Ruvuma,Namtumbo,S080102,Rwinga,Minazini,ligange,-10.456473258736743 36.12474491413895 847.3288951187544 4.0,576,2500,8750,3,1000,500,600,600,600,500,600,1050,1200,960,900,30,15030,15030,12030,1030,1030,930,NA,NA,NA,1530,1530,NA,NA,NA,NA,NA,NA,20000,NA,15000,NA,1000
2,5/8/2017,S,Ruvuma,Namtumbo,S080101,Rwinga,Mandepwende,Mandepwende,-10.445031536441403 36.18653055060959 816.3902785428238 4.0,806,4455,8000,8,3000,800,1200,1800,2400,500,1100,1800,2400,1600,1040,60,28060,16060,NA,900,1660,1020,NA,NA,1500,1300,1300,NA,NA,7500,12500,12500,NA,25000,7500,NA,5000,5000
3,5/8/2017,S,Ruvuma,Namtumbo,S080103,OTHER,Mtonya,Temeke,-10.374988308637853 36.16617485846213 790.597163332295 4.0,472,4712,8586,12,1000,500,500,1400,1550,375,375,1000,375,1040,1000,20,30020,12020,NA,1020,1420,1060,NA,NA,NA,1080,1060,1020,1020,10000,10000,10000,NA,10000,10000,10000,10000,5000
10,5/13/2017,S,Rukwa,Nkasi,S070101,Ntuchi,Ntuchi,Kanondo,-7.71148609 31.15036376 1673.9000244140625 5.0,565,5500,85,16,4000,250,530,700,900,250,600,720,800,1200,960,60,20060,20060,25060,NA,1260,1020,NA,NA,NA,1260,NA,NA,1100,7000,10000,5000,NA,4000,5000,5000,6000,10000
11,5/13/2017,S,Rukwa,Nkasi,S070103,OTHER,Kitosi,Kandale,-7.740364573127468 31.158594529862008 1674.6959420405374 4.0,399,2250,14456,42,4000,800,600,1000,1200,1000,600,1000,1200,1440,1000,40,NA,NA,NA,NA,1240,NA,NA,NA,NA,NA,NA,NA,NA,3000,3000,3000,12000,NA,3000,NA,3000,3000
12,5/13/2017,S,Rukwa,Nkasi,S070101,Ntuchi,Ntuchi,Kasula,-7.708804221743534 31.149470981583928 1649.8816848894314 4.0,365,5579,21004,18,4000,600,1060,1400,1600,400,1060,1400,1600,1200,960,60,20060,20060,NA,NA,1260,NA,NA,NA,NA,1320,NA,NA,NA,13000,20000,5000,20000,5000,5000,15000,4000,10000
13,5/15/2017,S,Songwe,Momba,S090201,Chiwezi,Namole,Namole,-9.223177033602083 32.75362603539713 1324.1587802171562 4.0,628,2128,12659,8,2500,700,1000,1600,2200,700,1000,1600,2200,1300,1100,40,NA,11040,NA,840,1380,980,NA,NA,NA,1240,NA,NA,NA,4000,4000,4000,NA,3000,4000,10000,4000,4500
14,5/15/2017,S,Songwe,Momba,S090203,Chiwezi,Nsanzya,Nsanzya,-9.174440104237984 32.70897921021546 1270.4970175394049 4.0,502,4703,15000,23,3000,300,600,900,1080,300,600,500,1200,1240,1100,60,NA,12060,NA,900,1300,1060,NA,NA,NA,1460,1360,NA,NA,4000,4000,4000,8000,4000,4000,5000,4000,10000
15,5/15/2017,S,Songwe,Momba,S090202,Chiwezi,Nsanzya,Nsanzya,-9.174483333333335 32.709025 1278.5 4.6,502,4904,15000,20,3000,300,600,900,1080,300,600,500,1200,1240,1100,60,NA,12060,NA,900,1300,1060,1160,NA,NA,1360,NA,NA,NA,4000,4000,4000,4000,4000,4000,5000,4000,10000
17,5/16/2017,S,Songwe,Mbozi,S090101,Magamba,Naulongo,Nantupa,-8.846535446002486 32.958037337844075 1527.1059333886956 4.0,289,1605,0,25,1500,300,300,400,540,300,240,320,360,1300,960,20,NA,12020,NA,780,1320,920,NA,NA,NA,1320,1260,NA,NA,3000,3000,3000,6000,3000,3000,3000,3000,3000
