cmty_index,enum_date,zone,region,district,site,ward,village,hamlet,comm_gps,vil_nhh,vil_npersons,vil_acres,acc_inp_km,acc_inp_tsh,input_type,N_price,P_price,K_price
1,5/8/2017,S,Ruvuma,Namtumbo,S080102,Rwinga,Minazini,ligange,-10.456473258736743 36.12474491413895 847.3288951187544 4.0,576,2500,8750,3,1000,SA (21:0:0),4904.761904761905,NA,NA
1,5/8/2017,S,Ruvuma,Namtumbo,S080102,Rwinga,Minazini,ligange,-10.456473258736743 36.12474491413895 847.3288951187544 4.0,576,2500,8750,3,1000,DAP,5722.222222222223,5150,NA
1,5/8/2017,S,Ruvuma,Namtumbo,S080102,Rwinga,Minazini,ligange,-10.456473258736743 36.12474491413895 847.3288951187544 4.0,576,2500,8750,3,1000,CAN (26:0:0),3576.9230769230767,NA,NA
1,5/8/2017,S,Ruvuma,Namtumbo,S080102,Rwinga,Minazini,ligange,-10.456473258736743 36.12474491413895 847.3288951187544 4.0,576,2500,8750,3,1000,YaraMila Cereal,6652.173913043478,15300,30600
1,5/8/2017,S,Ruvuma,Namtumbo,S080102,Rwinga,Minazini,ligange,-10.456473258736743 36.12474491413895 847.3288951187544 4.0,576,2500,8750,3,1000,Yara Amidas,3825,NA,NA
2,5/8/2017,S,Ruvuma,Namtumbo,S080101,Rwinga,Mandepwende,Mandepwende,-10.445031536441403 36.18653055060959 816.3902785428238 4.0,806,4455,8000,8,3000,SA (21:0:0),4285.714285714286,NA,NA
2,5/8/2017,S,Ruvuma,Namtumbo,S080101,Rwinga,Mandepwende,Mandepwende,-10.445031536441403 36.18653055060959 816.3902785428238 4.0,806,4455,8000,8,3000,DAP,9222.222222222223,8300,NA
2,5/8/2017,S,Ruvuma,Namtumbo,S080101,Rwinga,Mandepwende,Mandepwende,-10.445031536441403 36.18653055060959 816.3902785428238 4.0,806,4455,8000,8,3000,CAN (26:0:0),3923.076923076923,NA,NA
2,5/8/2017,S,Ruvuma,Namtumbo,S080101,Rwinga,Mandepwende,Mandepwende,-10.445031536441403 36.18653055060959 816.3902785428238 4.0,806,4455,8000,8,3000,Minjingu Mazao,15000,17201.83486238532,NA
2,5/8/2017,S,Ruvuma,Namtumbo,S080101,Rwinga,Mandepwende,Mandepwende,-10.445031536441403 36.18653055060959 816.3902785428238 4.0,806,4455,8000,8,3000,YaraMila Cereal,5652.173913043478,13000,26000
2,5/8/2017,S,Ruvuma,Namtumbo,S080101,Rwinga,Mandepwende,Mandepwende,-10.445031536441403 36.18653055060959 816.3902785428238 4.0,806,4455,8000,8,3000,Yara Amidas,3250,NA,NA
3,5/8/2017,S,Ruvuma,Namtumbo,S080103,OTHER,Mtonya,Temeke,-10.374988308637853 36.16617485846213 790.597163332295 4.0,472,4712,8586,12,1000,SA (21:0:0),4857.142857142857,NA,NA
3,5/8/2017,S,Ruvuma,Namtumbo,S080103,OTHER,Mtonya,Temeke,-10.374988308637853 36.16617485846213 790.597163332295 4.0,472,4712,8586,12,1000,DAP,7888.88888888889,7100,NA
3,5/8/2017,S,Ruvuma,Namtumbo,S080103,OTHER,Mtonya,Temeke,-10.374988308637853 36.16617485846213 790.597163332295 4.0,472,4712,8586,12,1000,CAN (26:0:0),4076.9230769230767,NA,NA
3,5/8/2017,S,Ruvuma,Namtumbo,S080103,OTHER,Mtonya,Temeke,-10.374988308637853 36.16617485846213 790.597163332295 4.0,472,4712,8586,12,1000,YaraMila Cereal,4695.652173913043,10800,21600
3,5/8/2017,S,Ruvuma,Namtumbo,S080103,OTHER,Mtonya,Temeke,-10.374988308637853 36.16617485846213 790.597163332295 4.0,472,4712,8586,12,1000,Yara Amidas,2650,NA,NA
3,5/8/2017,S,Ruvuma,Namtumbo,S080103,OTHER,Mtonya,Temeke,-10.374988308637853 36.16617485846213 790.597163332295 4.0,472,4712,8586,12,1000,YaraMila Winner,6800,11333.333333333334,5100
7,5/12/2017,S,Rukwa,Sumbawanga Rural,S070201,Laela,Ndelema,Ndelema,-8.521139009225106 32.03560230822608 1631.6027856297294 4.0,621,2786,3217,8,1000,DAP,7333.333333333334,6600,NA
7,5/12/2017,S,Rukwa,Sumbawanga Rural,S070201,Laela,Ndelema,Ndelema,-8.521139009225106 32.03560230822608 1631.6027856297294 4.0,621,2786,3217,8,1000,CAN (26:0:0),4692.307692307692,NA,NA
7,5/12/2017,S,Rukwa,Sumbawanga Rural,S070201,Laela,Ndelema,Ndelema,-8.521139009225106 32.03560230822608 1631.6027856297294 4.0,621,2786,3217,8,1000,YaraMila Cereal,5739.130434782608,13200,26400
