hhid,enum_date,plotid,fp_index,fp_id,zone,region,district,site,irrig_bin,area_est,seed_ha,seedtype,seedsource,seedexp_ha,seedexp_kg,seedprice_hybrid,seedprice_local,fertilizer_bin,input,amount,N,P,K,inputexp,power_exp_ha
N01010101,29-7-2017,1,569,18133006,N,Arusha,Arumeru,N010101,0,1.214056926,24.71053816137119,"improved, purchased",small trader,111197.42172617036,4500,4500,NA,NA,NA,NA,NA,NA,NA,NA,247105.3816137119
N01010102,28-7-2017,1,553,18097598,N,Arusha,Arumeru,N010101,1,0.404685642,NA,NA,NA,NA,NA,NA,NA,0,"Cow manure, NA","NA, NA",NA,NA,NA,0,197684.30529096953
N01010103,28-7-2017,1,554,18097601,N,Arusha,Arumeru,N010101,0,1.214056926,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N01010104,28-7-2017,1,560,18097678,N,Arusha,Arumeru,N010101,1,0.404685642,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N01010105,28-7-2017,1,559,18097668,N,Arusha,Arumeru,N010101,0,0.9105426945,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N01010106,28-7-2017,1,552,18097595,N,Arusha,Arumeru,N010101,1,0.404685642,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N01010107,29-7-2017,1,571,18133024,N,Arusha,Arumeru,N010101,1,0.809371284,24.71053816137119,"improved, purchased",stockist/ agent,234750.11253302632,9500,9500,NA,0,"Cow manure, NA","NA, NA",NA,NA,NA,0,197684.30529096953
N01010108,29-7-2017,1,570,18133009,N,Arusha,Arumeru,N010101,1,1.214056926,16.473692107580792,"improved, purchased",stockist/ agent,32947.38421516159,2000.0000000000005,2000.0000000000005,NA,0,"Cow manure, NA","NA, NA",NA,NA,NA,0,164736.92107580794
N01010201,28-7-2017,1,564,18099778,N,Arusha,Arumeru,N010102,0,0.3035142315,26.35790737212927,"local, purchased",other farmer,52715.81474425854,2000,NA,2000,0,"none, NA","NA, NA",0,0,0,0,65894.76843032318
N01010202,28-7-2017,1,567,18099828,N,Arusha,Arumeru,N010102,0,0.607028463,NA,NA,NA,NA,NA,NA,NA,0,"none, NA","NA, NA",0,0,0,0,NA
N01010203,28-7-2017,1,566,18099822,N,Arusha,Arumeru,N010102,0,0.809371284,NA,NA,NA,NA,NA,NA,NA,0,"none, NA","NA, NA",0,0,0,0,NA
N01010204,28-7-2017,1,568,18099834,N,Arusha,Arumeru,N010102,0,0.3035142315,NA,NA,NA,NA,NA,NA,NA,0,"none, NA","NA, NA",0,0,0,0,NA
N01010205,28-7-2017,1,565,18099818,N,Arusha,Arumeru,N010102,0,1.618742568,NA,NA,NA,NA,NA,NA,NA,0,"Cow manure, NA","NA, NA",NA,NA,NA,0,18532.903621028392
N01010206,28-7-2017,1,561,18097704,N,Arusha,Arumeru,N010102,0,0.607028463,NA,NA,NA,NA,NA,NA,NA,0,"none, NA","NA, NA",0,0,0,0,NA
N01010207,28-7-2017,1,562,18097706,N,Arusha,Arumeru,N010102,0,0.607028463,NA,NA,NA,NA,NA,NA,NA,0,"none, NA","NA, NA",0,0,0,0,NA
N01010208,28-7-2017,1,563,18099758,N,Arusha,Arumeru,N010102,0,1.214056926,NA,NA,NA,NA,NA,NA,NA,0,"none, NA","NA, NA",0,0,0,0,24710.53816137119
N01010301,29-7-2017,1,573,18175847,N,Arusha,Arumeru,N010103,0,0.3035142315,NA,NA,NA,NA,NA,NA,NA,0,"Compost-animal manure based, NA","NA, NA",NA,NA,NA,0,NA
N01010302,29-7-2017,1,572,18175842,N,Arusha,Arumeru,N010103,0,0.404685642,NA,NA,NA,NA,NA,NA,NA,0,"Compost-animal manure based, NA","1000, NA",NA,NA,NA,0,61776.34540342798
N01010303,29-7-2017,1,575,18175867,N,Arusha,Arumeru,N010103,0,0.607028463,NA,NA,NA,NA,NA,NA,NA,0,"none, NA","NA, NA",0,0,0,0,NA
N01010305,29-7-2017,1,577,18181311,N,Arusha,Arumeru,N010103,0,3.237485136,NA,NA,NA,NA,NA,NA,NA,0,"none, NA","NA, NA",0,0,0,0,148263.22896822714
N01010306,29-7-2017,1,574,18175860,N,Arusha,Arumeru,N010103,0,1.214056926,NA,NA,NA,NA,NA,NA,NA,1,"Urea, NA","150, NA",56.83423777115374,0,0,144000,74131.61448411357
N01010307,29-7-2017,1,579,18181435,N,Arusha,Arumeru,N010103,0,0.809371284,NA,NA,NA,NA,NA,NA,NA,0,"none, none","NA, 0",0,0,0,0,NA
N01010308,29-7-2017,1,578,18181433,N,Arusha,Arumeru,N010103,0,0.404685642,24.71053816137119,"local, recycled",small trader,148263.22896822714,NA,NA,NA,0,"none, NA","NA, NA",0,0,0,0,NA
N01020101,13-7-2017,1,402,17539406,N,Arusha,Karatu,N010201,0,0.404685642,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,86486.88356479917
N01020102,13-7-2017,1,399,17539341,N,Arusha,Karatu,N010201,0,0.5058570525,NA,NA,NA,NA,NA,NA,NA,0,"none, NA","NA, NA",0,0,0,0,NA
N01020103,12-7-2017,1,392,17497720,N,Arusha,Karatu,N010201,0,0.404685642,14.826322896822715,"improved, recycled",stockist/ agent,92664.51810514196,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,197684.30529096953
N01020104,12-7-2017,1,401,17539402,N,Arusha,Karatu,N010201,0,1.011714105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,98842.15264548476
N01020105,13-7-2017,1,398,17539336,N,Arusha,Karatu,N010201,0,1.214056926,NA,NA,NA,NA,NA,NA,NA,0,"Cow manure, NA","8000, NA",NA,NA,NA,200000,172973.76712959833
N01020106,12-7-2017,1,393,17497742,N,Arusha,Karatu,N010201,0,0.809371284,18.532903621028392,"local, recycled",own production,0,NA,NA,NA,0,"none, NA","NA, NA",0,0,0,0,197684.30529096953
N01020107,12-7-2017,1,400,17539396,N,Arusha,Karatu,N010201,0,0.404685642,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,98842.15264548476
N01020108,12-7-2017,1,391,17496762,N,Arusha,Karatu,N010201,0,1.011714105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
N01020201,13-7-2017,1,404,17539884,N,Arusha,Karatu,N010202,0,1.214056926,NA,NA,NA,NA,NA,NA,NA,0,"none, NA","NA, NA",0,0,0,0,111197.42172617036
N01020202,13-7-2017,1,410,17540128,N,Arusha,Karatu,N010202,0,1.618742568,NA,NA,NA,NA,NA,NA,NA,0,"none, NA","NA, NA",0,0,0,0,197684.30529096953
N01020203,13-7-2017,1,412,17542354,N,Arusha,Karatu,N010202,0,0.404685642,19.768430529096953,"improved, purchased",small trader,118610.58317458171,6000,6000,NA,NA,NA,NA,NA,NA,NA,NA,123552.69080685596
N01020204,13-7-2017,1,409,17540112,N,Arusha,Karatu,N010202,0,1.618742568,NA,NA,NA,NA,NA,NA,NA,0,"none, NA","NA, NA",0,0,0,0,197684.30529096953
N01020205,13-7-2017,1,411,17542344,N,Arusha,Karatu,N010202,0,0.404685642,9.884215264548477,"improved, recycled",small trader,98842.15264548476,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,98842.15264548476
