hhid,hh_index,enum_date,zone,region,district,site,ward,village,hamlet,mz_price_may16,mz_price_dec17,mz_price_feb17,plot_id,intercrop_bin,nb_crops,crop,harvested_bin,cropsys,plot_area,yield,flab_h_ha,flab_l_ha,flab_p_ha,flab_r_ha,flab_w_ha,hlab_h_ha,hlab_l_ha,hlab_p_ha,hlab_r_ha,hlab_w_ha,hlab_lw_ha,hlab_pw_ha,hlab_ww_ha,hlab_rw_ha,hlab_hw_ha,tlab_h_ha,tlab_l_ha,tlab_p_ha,tlab_r_ha,tlab_w_ha,flab_h_dt,hlab_h_dt,tlab_h_dt,crop_sold,sold_kg,price_kg,revenue
S08010205,1,2017-05-08,S,Ruvuma,Namtumbo,S080102,Rwinga,Minazini,Minazini,375,750,1041.6666666666667,3,0,1,maize,0,mmc,2.428113852,4.118423026895199,NA,NA,NA,NA,NA,7.4131614484113575,15.650007502201754,9.884215264548477,4.942107632274238,14.826322896822715,148263.22896822714,57657.92237653278,74131.61448411357,38713.17645281486,51892.1301388795,7.4131614484113575,15.650007502201754,9.884215264548477,4.942107632274238,14.826322896822715,NA,1.7999999999999998,1.7999999999999998,maize,NA,950,NA
S08010205,1,2017-05-08,S,Ruvuma,Namtumbo,S080102,Rwinga,Minazini,Minazini,375,750,1041.6666666666667,4,0,1,maize,0,mmc,1.214056926,3.953686105819391,NA,NA,NA,NA,NA,29.65264579364543,23.06316895061311,8.236846053790396,6.589476843032317,9.884215264548477,148263.22896822714,41184.230268951986,74131.61448411357,32947.38421516159,148263.22896822714,29.65264579364543,23.06316895061311,8.236846053790396,6.589476843032317,9.884215264548477,NA,7.5,7.5,maize,NA,950,NA
S08010203,2,2017-05-08,S,Ruvuma,Namtumbo,S080102,Rwinga,Minazini,Ligange,300,1000,1150,1,0,1,maize,1,mmc,0.809371284,0.8648688356479917,14.826322896822715,NA,6.1776345403427975,12.355269080685595,13.590795988754154,NA,8.648688356479916,NA,NA,NA,148263.22896822714,NA,NA,NA,NA,14.826322896822715,8.648688356479916,6.1776345403427975,12.355269080685595,13.590795988754154,17.142857142857142,NA,17.142857142857142,NA,NA,NA,NA
S08010203,2,2017-05-08,S,Ruvuma,Namtumbo,S080102,Rwinga,Minazini,Ligange,300,1000,1150,5,1,2,maize,0,mpp,1.214056926,1.0707899869927515,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S08010203,2,2017-05-08,S,Ruvuma,Namtumbo,S080102,Rwinga,Minazini,Ligange,300,1000,1150,5,1,2,pigeon_pea,0,mpp,1.214056926,0.09884215264548477,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
S08010206,3,2017-05-08,S,Ruvuma,Namtumbo,S080102,Rwinga,Minazini,Ligange,320,700,700,2,1,2,maize,0,mpp,1.011714105,0.15814744423277563,NA,15.814744423277562,3.9536861058193904,NA,13.837901370367867,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.814744423277562,3.9536861058193904,NA,13.837901370367867,NA,NA,NA,pigeon_pea,80,700,56000
S08010206,3,2017-05-08,S,Ruvuma,Namtumbo,S080102,Rwinga,Minazini,Ligange,320,700,700,2,1,2,pigeon_pea,0,mpp,1.011714105,0.1284947984391302,NA,15.814744423277562,3.9536861058193904,NA,13.837901370367867,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.814744423277562,3.9536861058193904,NA,13.837901370367867,NA,NA,NA,pigeon_pea,80,700,56000
S08010202,4,2017-05-08,S,Ruvuma,Namtumbo,S080102,Rwinga,Minazini,Minazini,300,250,500,2,1,2,maize,0,mpp,0.404685642,0.29652645793645427,29.65264579364543,22.23948434523407,14.826322896822715,NA,22.23948434523407,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.65264579364543,22.23948434523407,14.826322896822715,NA,22.23948434523407,100.00000000000001,NA,100.00000000000001,NA,NA,NA,NA
S08010202,4,2017-05-08,S,Ruvuma,Namtumbo,S080102,Rwinga,Minazini,Minazini,300,250,500,2,1,2,pigeon_pea,0,mpp,0.404685642,0.29652645793645427,29.65264579364543,22.23948434523407,14.826322896822715,NA,22.23948434523407,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.65264579364543,22.23948434523407,14.826322896822715,NA,22.23948434523407,100.00000000000001,NA,100.00000000000001,NA,NA,NA,NA
S08010301,5,2017-05-08,S,Ruvuma,Namtumbo,S080103,Likuyu,Mtonya,Temeke,250,750,1000,1,1,2,maize,0,mpp,0.404685642,0.5930529158729085,14.826322896822715,29.65264579364543,7.4131614484113575,NA,29.65264579364543,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.826322896822715,29.65264579364543,7.4131614484113575,NA,29.65264579364543,25.000000000000004,NA,25.000000000000004,pigeon_pea,300,NA,NA
S08010301,5,2017-05-08,S,Ruvuma,Namtumbo,S080103,Likuyu,Mtonya,Temeke,250,750,1000,1,1,2,pigeon_pea,0,mpp,0.404685642,0.29652645793645427,14.826322896822715,29.65264579364543,7.4131614484113575,NA,29.65264579364543,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.826322896822715,29.65264579364543,7.4131614484113575,NA,29.65264579364543,50.00000000000001,NA,50.00000000000001,pigeon_pea,300,NA,NA
S08010301,5,2017-05-08,S,Ruvuma,Namtumbo,S080103,Likuyu,Mtonya,Temeke,250,750,1000,3,1,2,maize,0,mpp,0.809371284,0.7413161448411357,4.942107632274238,4.942107632274238,2.471053816137119,NA,7.4131614484113575,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.942107632274238,4.942107632274238,2.471053816137119,NA,7.4131614484113575,6.666666666666667,NA,6.666666666666667,pigeon_pea,300,NA,NA
S08010301,5,2017-05-08,S,Ruvuma,Namtumbo,S080103,Likuyu,Mtonya,Temeke,250,750,1000,3,1,2,pigeon_pea,0,mpp,0.809371284,0.2223948434523407,4.942107632274238,4.942107632274238,2.471053816137119,NA,7.4131614484113575,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.942107632274238,4.942107632274238,2.471053816137119,NA,7.4131614484113575,22.222222222222225,NA,22.222222222222225,pigeon_pea,300,NA,NA
